routeId,geometryId,kind,routeKey,floor,image,card,sheet,cell,changed,pointsBefore,pointsAfter,turnsBefore,turnsAfter,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter,redundantCollinearPointsAfter,lowAngleAlternationsAfter,visualReviewStatus,wallCrossing,unnecessaryBend,endpointIssue,reviewNotes
R00030,G0015,floorNav,大伤门诊|||S3|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0015.jpg,all-route-sheets/sheet-001.jpg,15,false,5,5,0,0,43.217169,43.217169,21.0,21.0,0,0,pending,,,,
R00031,G0016,floorNav,大伤门诊|||S4|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0016.jpg,all-route-sheets/sheet-001.jpg,16,true,26,17,1,1,37.656611,37.656611,20.375,20.375,0,2,pending,,,,
R00032,G0016,floorNav,大伤门诊|||S4|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0016.jpg,all-route-sheets/sheet-001.jpg,16,true,26,17,1,1,37.656611,37.656611,20.375,20.375,0,2,pending,,,,
R00033,G0017,floorNav,大伤门诊|||S5|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0017.jpg,all-route-sheets/sheet-002.jpg,1,false,9,9,0,0,38.841232,38.841232,20.375,20.375,0,1,pending,,,,
R00034,G0017,floorNav,大伤门诊|||S5|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0017.jpg,all-route-sheets/sheet-002.jpg,1,false,9,9,0,0,38.841232,38.841232,20.375,20.375,0,1,pending,,,,
R00035,G0018,floorNav,大伤门诊|||S6|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0018.jpg,all-route-sheets/sheet-002.jpg,2,false,6,6,1,1,51.098376,51.098376,20.772,20.772,0,0,pending,,,,
R00036,G0018,floorNav,大伤门诊|||S6|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0018.jpg,all-route-sheets/sheet-002.jpg,2,false,6,6,1,1,51.098376,51.098376,20.772,20.772,0,0,pending,,,,
R00037,G0019,floorNav,急诊科|||S1|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0019.jpg,all-route-sheets/sheet-002.jpg,3,true,27,9,1,1,44.025068,44.025068,20.197,20.197,0,0,pending,,,,
R00038,G0019,floorNav,急诊科|||S1|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0019.jpg,all-route-sheets/sheet-002.jpg,3,true,27,9,1,1,44.025068,44.025068,20.197,20.197,0,0,pending,,,,
R00039,G0020,floorNav,急诊科|||S2|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0020.jpg,all-route-sheets/sheet-002.jpg,4,true,8,7,2,2,25.896235,25.896235,20.197,20.197,0,0,pending,,,,
R00040,G0020,floorNav,急诊科|||S2|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0020.jpg,all-route-sheets/sheet-002.jpg,4,true,8,7,2,2,25.896235,25.896235,20.197,20.197,0,0,pending,,,,
R00041,G0021,floorNav,急诊科|||S3|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0021.jpg,all-route-sheets/sheet-002.jpg,5,false,6,6,0,0,26.035087,26.035087,20.197,20.197,0,0,pending,,,,
R00042,G0021,floorNav,急诊科|||S3|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0021.jpg,all-route-sheets/sheet-002.jpg,5,false,6,6,0,0,26.035087,26.035087,20.197,20.197,0,0,pending,,,,
R00043,G0022,floorNav,急诊科|||S4|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0022.jpg,all-route-sheets/sheet-002.jpg,6,true,19,7,2,2,34.830247,34.830247,20.197,20.197,0,0,pending,,,,
R00044,G0022,floorNav,急诊科|||S4|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0022.jpg,all-route-sheets/sheet-002.jpg,6,true,19,7,2,2,34.830247,34.830247,20.197,20.197,0,0,pending,,,,
R00045,G0023,floorNav,急诊科|||S5|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0023.jpg,all-route-sheets/sheet-002.jpg,7,true,25,7,1,1,36.048854,36.048854,20.197,20.197,0,0,pending,,,,
R00046,G0023,floorNav,急诊科|||S5|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0023.jpg,all-route-sheets/sheet-002.jpg,7,true,25,7,1,1,36.048854,36.048854,20.197,20.197,0,0,pending,,,,
R00047,G0024,floorNav,急诊科|||S6|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0024.jpg,all-route-sheets/sheet-002.jpg,8,false,10,10,2,2,66.629074,66.629074,20.575,20.575,0,0,pending,,,,
R00048,G0024,floorNav,急诊科|||S6|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0024.jpg,all-route-sheets/sheet-002.jpg,8,false,10,10,2,2,66.629074,66.629074,20.575,20.575,0,0,pending,,,,
R00049,G0025,floorNav,挂号缴费|||S1|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0025.jpg,all-route-sheets/sheet-002.jpg,9,true,21,13,4,4,64.300769,64.300769,20.375,20.375,0,1,pending,,,,
R00050,G0025,floorNav,挂号缴费|||S1|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0025.jpg,all-route-sheets/sheet-002.jpg,9,true,21,13,4,4,64.300769,64.300769,20.375,20.375,0,1,pending,,,,
R00051,G0026,floorNav,挂号缴费|||S2|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0026.jpg,all-route-sheets/sheet-002.jpg,10,true,11,8,0,0,38.010132,38.010132,20.378,20.378,0,1,pending,,,,
R00052,G0026,floorNav,挂号缴费|||S2|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0026.jpg,all-route-sheets/sheet-002.jpg,10,true,11,8,0,0,38.010132,38.010132,20.378,20.378,0,1,pending,,,,
R00053,G0027,floorNav,挂号缴费|||S3|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0027.jpg,all-route-sheets/sheet-002.jpg,11,false,7,7,0,0,38.003692,38.003692,20.378,20.378,0,1,pending,,,,
R00054,G0027,floorNav,挂号缴费|||S3|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0027.jpg,all-route-sheets/sheet-002.jpg,11,false,7,7,0,0,38.003692,38.003692,20.378,20.378,0,1,pending,,,,
R00055,G0028,floorNav,挂号缴费|||S4|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0028.jpg,all-route-sheets/sheet-002.jpg,12,false,3,3,0,0,17.061282,17.061282,20.378,20.378,0,0,pending,,,,
R00056,G0028,floorNav,挂号缴费|||S4|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0028.jpg,all-route-sheets/sheet-002.jpg,12,false,3,3,0,0,17.061282,17.061282,20.378,20.378,0,0,pending,,,,
R00057,G0029,floorNav,挂号缴费|||S5|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0029.jpg,all-route-sheets/sheet-002.jpg,13,true,26,6,1,1,16.057321,16.057321,20.378,20.378,0,0,pending,,,,
R00058,G0029,floorNav,挂号缴费|||S5|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0029.jpg,all-route-sheets/sheet-002.jpg,13,true,26,6,1,1,16.057321,16.057321,20.378,20.378,0,0,pending,,,,
R00059,G0030,floorNav,挂号缴费|||S6|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0030.jpg,all-route-sheets/sheet-002.jpg,14,true,16,5,1,1,25.953913,25.953913,20.197,20.197,0,0,pending,,,,
R00060,G0030,floorNav,挂号缴费|||S6|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0030.jpg,all-route-sheets/sheet-002.jpg,14,true,16,5,1,1,25.953913,25.953913,20.197,20.197,0,0,pending,,,,
R00061,G0031,floorNav,放射科|||S1|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0031.jpg,all-route-sheets/sheet-002.jpg,15,true,25,14,3,3,38.672807,38.672807,20.375,20.375,0,1,pending,,,,
R00062,G0031,floorNav,放射科|||S1|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0031.jpg,all-route-sheets/sheet-002.jpg,15,true,25,14,3,3,38.672807,38.672807,20.375,20.375,0,1,pending,,,,
R00063,G0032,floorNav,放射科|||S2|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0032.jpg,all-route-sheets/sheet-002.jpg,16,false,7,7,2,2,13.456388,13.456388,20.984,20.984,0,0,pending,,,,
R00064,G0032,floorNav,放射科|||S2|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0032.jpg,all-route-sheets/sheet-002.jpg,16,false,7,7,2,2,13.456388,13.456388,20.984,20.984,0,0,pending,,,,
R00065,G0033,floorNav,放射科|||S3|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0033.jpg,all-route-sheets/sheet-003.jpg,1,true,19,9,2,2,13.205665,13.205665,20.394,20.394,0,1,pending,,,,
R00066,G0033,floorNav,放射科|||S3|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0033.jpg,all-route-sheets/sheet-003.jpg,1,true,19,9,2,2,13.205665,13.205665,20.394,20.394,0,1,pending,,,,
R00067,G0034,floorNav,放射科|||S4|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0034.jpg,all-route-sheets/sheet-003.jpg,2,false,6,6,4,4,24.160158,24.160158,20.197,20.197,0,0,pending,,,,
R00068,G0034,floorNav,放射科|||S4|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0034.jpg,all-route-sheets/sheet-003.jpg,2,false,6,6,4,4,24.160158,24.160158,20.197,20.197,0,0,pending,,,,
R00069,G0035,floorNav,放射科|||S5|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0035.jpg,all-route-sheets/sheet-003.jpg,3,false,6,6,3,3,25.358534,25.358534,20.197,20.197,0,0,pending,,,,
R00070,G0035,floorNav,放射科|||S5|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0035.jpg,all-route-sheets/sheet-003.jpg,3,false,6,6,3,3,25.358534,25.358534,20.197,20.197,0,0,pending,,,,
R00071,G0036,floorNav,放射科|||S6|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0036.jpg,all-route-sheets/sheet-003.jpg,4,false,15,15,3,3,63.826939,63.826939,20.197,20.197,0,1,pending,,,,
R00072,G0036,floorNav,放射科|||S6|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0036.jpg,all-route-sheets/sheet-003.jpg,4,false,15,15,3,3,63.826939,63.826939,20.197,20.197,0,1,pending,,,,
R00073,G0037,floorNav,消控室|||S1|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0037.jpg,all-route-sheets/sheet-003.jpg,5,true,13,10,4,4,26.337359,26.337359,20.197,20.197,0,0,pending,,,,
R00074,G0037,floorNav,消控室|||S1|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0037.jpg,all-route-sheets/sheet-003.jpg,5,true,13,10,4,4,26.337359,26.337359,20.197,20.197,0,0,pending,,,,
R00075,G0038,floorNav,消控室|||S2|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0038.jpg,all-route-sheets/sheet-003.jpg,6,true,13,12,0,0,41.002909,41.002909,20.772,20.772,0,1,pending,,,,
R00076,G0038,floorNav,消控室|||S2|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0038.jpg,all-route-sheets/sheet-003.jpg,6,true,13,12,0,0,41.002909,41.002909,20.772,20.772,0,1,pending,,,,
R00077,G0039,floorNav,消控室|||S3|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0039.jpg,all-route-sheets/sheet-003.jpg,7,true,19,14,1,1,40.684793,40.684793,20.772,20.772,0,1,pending,,,,
R00078,G0039,floorNav,消控室|||S3|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0039.jpg,all-route-sheets/sheet-003.jpg,7,true,19,14,1,1,40.684793,40.684793,20.772,20.772,0,1,pending,,,,
R00079,G0040,floorNav,消控室|||S4|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0040.jpg,all-route-sheets/sheet-003.jpg,8,true,13,11,2,2,51.907727,51.907727,20.197,20.197,0,2,pending,,,,
R00080,G0040,floorNav,消控室|||S4|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0040.jpg,all-route-sheets/sheet-003.jpg,8,true,13,11,2,2,51.907727,51.907727,20.197,20.197,0,2,pending,,,,
R00081,G0041,floorNav,消控室|||S5|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0041.jpg,all-route-sheets/sheet-003.jpg,9,true,13,11,1,1,53.106103,53.106103,20.197,20.197,0,2,pending,,,,
R00082,G0041,floorNav,消控室|||S5|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0041.jpg,all-route-sheets/sheet-003.jpg,9,true,13,11,1,1,53.106103,53.106103,20.197,20.197,0,2,pending,,,,
R00083,G0042,floorNav,消控室|||S6|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0042.jpg,all-route-sheets/sheet-003.jpg,10,true,27,25,1,1,91.637363,91.637363,20.197,20.197,0,2,pending,,,,
R00084,G0042,floorNav,消控室|||S6|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0042.jpg,all-route-sheets/sheet-003.jpg,10,true,27,25,1,1,91.637363,91.637363,20.197,20.197,0,2,pending,,,,
R00085,G0001,floorNav,西药房|||S1|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0001.jpg,all-route-sheets/sheet-001.jpg,1,true,21,11,4,4,47.595923,47.595923,20.375,20.375,0,1,pending,,,,
R00086,G0001,floorNav,西药房|||S1|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0001.jpg,all-route-sheets/sheet-001.jpg,1,true,21,11,4,4,47.595923,47.595923,20.375,20.375,0,1,pending,,,,
R00087,G0002,floorNav,西药房|||S2|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0002.jpg,all-route-sheets/sheet-001.jpg,2,true,8,5,1,1,21.248182,21.248182,20.984,20.984,0,0,pending,,,,
R00088,G0002,floorNav,西药房|||S2|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0002.jpg,all-route-sheets/sheet-001.jpg,2,true,8,5,1,1,21.248182,21.248182,20.984,20.984,0,0,pending,,,,
R00089,G0003,floorNav,西药房|||S3|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0003.jpg,all-route-sheets/sheet-001.jpg,3,false,4,4,1,1,21.339914,21.339914,21.0,21.0,0,0,pending,,,,
R00090,G0003,floorNav,西药房|||S3|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0003.jpg,all-route-sheets/sheet-001.jpg,3,false,4,4,1,1,21.339914,21.339914,21.0,21.0,0,0,pending,,,,
R00091,G0004,floorNav,西药房|||S4|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0004.jpg,all-route-sheets/sheet-001.jpg,4,false,2,2,0,0,8.79558,8.79558,21.0,21.0,0,0,pending,,,,
R00092,G0004,floorNav,西药房|||S4|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0004.jpg,all-route-sheets/sheet-001.jpg,4,false,2,2,0,0,8.79558,8.79558,21.0,21.0,0,0,pending,,,,
R00093,G0005,floorNav,西药房|||S5|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0005.jpg,all-route-sheets/sheet-001.jpg,5,false,5,5,0,0,7.636598,7.636598,20.772,20.772,0,0,pending,,,,
R00094,G0005,floorNav,西药房|||S5|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0005.jpg,all-route-sheets/sheet-001.jpg,5,false,5,5,0,0,7.636598,7.636598,20.772,20.772,0,0,pending,,,,
R00095,G0006,floorNav,西药房|||S6|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0006.jpg,all-route-sheets/sheet-001.jpg,6,true,23,9,0,0,46.377392,46.377392,20.375,20.375,0,0,pending,,,,
R00096,G0006,floorNav,西药房|||S6|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0006.jpg,all-route-sheets/sheet-001.jpg,6,true,23,9,0,0,46.377392,46.377392,20.375,20.375,0,0,pending,,,,
R00097,G0043,floorNav,输液室|||S1|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0043.jpg,all-route-sheets/sheet-003.jpg,11,false,10,10,5,5,53.870117,53.870117,20.375,20.375,0,0,pending,,,,
R00098,G0043,floorNav,输液室|||S1|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0043.jpg,all-route-sheets/sheet-003.jpg,11,false,10,10,5,5,53.870117,53.870117,20.375,20.375,0,0,pending,,,,
R00099,G0044,floorNav,输液室|||S2|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0044.jpg,all-route-sheets/sheet-003.jpg,12,true,7,6,1,1,28.515669,28.515669,20.197,20.197,0,0,pending,,,,
R00100,G0044,floorNav,输液室|||S2|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0044.jpg,all-route-sheets/sheet-003.jpg,12,true,7,6,1,1,28.515669,28.515669,20.197,20.197,0,0,pending,,,,
R00101,G0045,floorNav,输液室|||S3|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0045.jpg,all-route-sheets/sheet-003.jpg,13,false,6,6,0,0,28.557019,28.557019,20.197,20.197,0,0,pending,,,,
R00102,G0045,floorNav,输液室|||S3|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0045.jpg,all-route-sheets/sheet-003.jpg,13,false,6,6,0,0,28.557019,28.557019,20.197,20.197,0,0,pending,,,,
R00103,G0046,floorNav,输液室|||S4|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0046.jpg,all-route-sheets/sheet-003.jpg,14,true,16,5,1,1,15.691686,15.691686,20.772,20.772,0,0,pending,,,,
R00104,G0046,floorNav,输液室|||S4|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0046.jpg,all-route-sheets/sheet-003.jpg,14,true,16,5,1,1,15.691686,15.691686,20.772,20.772,0,0,pending,,,,
R00105,G0047,floorNav,输液室|||S5|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0047.jpg,all-route-sheets/sheet-003.jpg,15,false,3,3,0,0,16.87702,16.87702,20.397,20.397,0,0,pending,,,,
R00106,G0047,floorNav,输液室|||S5|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0047.jpg,all-route-sheets/sheet-003.jpg,15,false,3,3,0,0,16.87702,16.87702,20.397,20.397,0,0,pending,,,,
R00107,G0048,floorNav,输液室|||S6|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0048.jpg,all-route-sheets/sheet-003.jpg,16,false,6,6,0,0,41.650494,41.650494,20.788,20.788,0,1,pending,,,,
R00108,G0048,floorNav,输液室|||S6|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0048.jpg,all-route-sheets/sheet-003.jpg,16,false,6,6,0,0,41.650494,41.650494,20.788,20.788,0,1,pending,,,,
R00109,G0049,sameFloor,中药房|||儿科门诊,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0049.jpg,all-route-sheets/sheet-004.jpg,1,true,25,8,1,1,41.555153,41.555153,20.772,20.772,0,0,pending,,,,
